message_id,device_id,timestamp,latitude,longitude,altitude_m,co2_ppm,tvoc_ppb,ch4_ppm,no2_ppb,n2o_ppb,air_temperature_c,air_humidity_percent,air_pressure_hpa,cloud_cover_percent,wind_speed_kmh,light_lux,soil_moisture_percent,soil_temperature_c,soil_ec_ms_cm,soil_ph,soil_n_mg_kg,soil_p_mg_kg,soil_k_mg_kg,battery_voltage,battery_percent,rssi_dbm,node_status,sensor_status
MSG-AGRISENSE-CC-001-1767200400000,AGRISENSE-CC-001,2026-01-01T00:00:00+07:00,-6.84154,107.9021,483.0,435.35,73.02,2.418,23.28,332.33,21.53,65.3,956.5,59.4,9.86,24287.0,46.6,20.66,1.22,6.56,174,40,232,12.59,48,-87,online,dummy_api_weather_airquality
MSG-AGRISENSE-CC-001-1767204000000,AGRISENSE-CC-001,2026-01-01T01:00:00+07:00,-6.84154,107.9021,483.0,432.46,88.21,1.835,22.71,332.23,20.66,66.1,956.5,60.8,9.3,18138.0,47.6,20.54,1.27,6.52,174,40,235,12.58,47,-87,online,dummy_api_weather_airquality
MSG-AGRISENSE-CC-001-1767207600000,AGRISENSE-CC-001,2026-01-01T02:00:00+07:00,-6.84154,107.9021,483.0,430.43,94.68,2.427,24.22,333.04,20.45,68.2,956.5,63.6,8.59,13050.0,50.0,20.31,1.31,6.49,175,40,239,12.57,47,-71,online,dummy_api_weather_airquality
MSG-AGRISENSE-CC-001-1767211200000,AGRISENSE-CC-001,2026-01-01T03:00:00+07:00,-6.84154,107.9021,483.0,431.39,99.22,2.066,24.57,333.9,20.85,71.2,956.5,67.4,8.82,9892.0,52.8,20.09,1.35,6.46,176,40,244,12.57,47,-64,online,dummy_api_weather_airquality
MSG-AGRISENSE-CC-001-1767214800000,AGRISENSE-CC-001,2026-01-01T04:00:00+07:00,-6.84154,107.9021,483.0,433.43,99.41,2.335,22.89,334.75,20.47,74.2,956.5,69.3,9.25,7454.0,56.1,20.39,1.39,6.44,179,39,249,12.56,46,-82,online,dummy_api_weather_airquality
MSG-AGRISENSE-CC-001-1767218400000,AGRISENSE-CC-001,2026-01-01T05:00:00+07:00,-6.84154,107.9021,483.0,432.36,100.02,1.658,22.84,335.98,20.81,77.2,956.6,72.8,10.44,5757.0,59.0,20.28,1.43,6.42,182,39,254,12.55,46,-57,online,dummy_api_weather_airquality
MSG-AGRISENSE-CC-001-1767222000000,AGRISENSE-CC-001,2026-01-01T06:00:00+07:00,-6.84154,107.9021,483.0,432.21,97.56,2.412,21.7,336.73,20.51,80.2,956.6,76.8,11.54,4494.0,62.5,20.51,1.47,6.39,186,39,260,12.54,46,-71,online,dummy_api_weather_airquality
MSG-AGRISENSE-CC-001-1767225600000,AGRISENSE-CC-001,2026-01-01T07:00:00+07:00,-6.84154,107.9021,483.0,431.59,94.99,1.679,21.01,337.61,20.76,83.2,956.6,78.9,12.47,4169.0,64.4,20.37,1.47,6.37,187,39,262,12.54,46,-72,online,dummy_api_weather_airquality
MSG-AGRISENSE-CC-001-1767229200000,AGRISENSE-CC-001,2026-01-01T08:00:00+07:00,-6.84154,107.9021,483.0,432.62,92.21,2.23,22.11,338.19,20.59,86.2,956.5,80.5,13.06,4514.0,66.2,20.47,1.49,6.35,188,39,265,12.54,46,-88,online,dummy_api_weather_airquality
MSG-AGRISENSE-CC-001-1767232800000,AGRISENSE-CC-001,2026-01-01T09:00:00+07:00,-6.84154,107.9021,483.0,430.66,92.42,2.411,21.72,339.25,20.67,88.2,956.6,82.1,13.35,5098.0,68.3,20.4,1.53,6.34,191,39,269,12.55,46,-72,online,dummy_api_weather_airquality
